start,end,peak_date,peak_value,threshold,n_points
1996-08-01,1996-09-01,1996-09-01,-0.031903664741935935,0.03040986717116918,2
2011-07-01,2011-08-01,2011-07-01,0.03332808605608817,0.03040986717116918,2
