start,end,peak_date,peak_value,threshold,n_points
1994-04-01,1994-04-01,1994-04-01,-0.14745925484815137,0.13715435686420496,1
1994-12-01,1995-03-01,1995-01-01,0.17249819100595326,0.13715435686420496,4
1998-07-01,1999-04-01,1998-11-01,-0.2605229025249159,0.13715435686420496,10
1999-09-01,2000-01-01,1999-11-01,0.23169836029099738,0.13715435686420496,5
2001-02-01,2001-04-01,2001-02-01,0.14310563575528057,0.13715435686420496,3
2006-02-01,2006-06-01,2006-04-01,-0.1948281238667526,0.13715435686420496,5
2006-12-01,2007-03-01,2007-01-01,0.15438319991880253,0.13715435686420496,4
2008-11-01,2009-01-01,2008-12-01,0.16211656834408755,0.13715435686420496,3
