season,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
DJF,1.343173558459796,1.3490011335943564,1.3634536152677583,1.423485934647033,1.4303207566233596,1.4411747262330437
JJA,1.657714630434782,1.6660113695652399,1.6946159130434921,1.6939965688405891,1.6933479094203108,1.712524036231855
MAM,1.7849442137680853,1.78900573550726,1.80273336956526,1.8336628514493327,1.8361239384057626,1.8415296050724805
SON,2.3371896080585657,2.3639745238095315,2.3965613003662156,2.351408641025614,2.37634244322345,2.4063902893772138
