season,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
DJF,242.39032258064518,228.88709677419354,221.28709677419357,218.42580645161289,229.52258064516133,214.5193548387097
JJA,365.7466666666667,371.5366666666667,363.37333333333333,342.02000000000004,352.6266666666667,329.4533333333333
MAM,302.5866666666667,294.5366666666667,288.33,279.35,290.9933333333334,282.79333333333335
SON,335.87333333333333,323.44,326.72333333333336,297.78333333333336,311.3766666666667,289.79
