season,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
DJF,274.65002102030354,274.488841410319,273.8821028580107,274.66131158886856,274.37506595642145,273.8816217497935
JJA,301.4777980253623,301.25905026811597,300.6395764094203,301.56923167753627,301.2118113768116,300.7169457173913
MAM,289.2159244275362,289.02826492028987,288.3907803623188,289.19623082246375,288.8819888768116,288.3711715869565
SON,291.34700884981686,291.1333255714286,290.4830887032967,291.4596893443223,291.1189300879121,290.5976381648352
