centre_date,TAC
1994-12-01,0.6393966876505592
1995-12-01,0.6554063666584615
1996-12-01,0.6735631584092528
1997-12-01,0.6838517845228713
1998-12-01,0.6777616434198622
1999-12-01,0.6789971945616359
2000-12-01,0.579171131744516
2001-12-01,0.6217701436923978
2002-12-01,0.62212823495314
2003-12-01,0.5313376409596807
2004-12-01,0.619004370646754
2005-12-01,0.6378994167934802
2006-12-01,0.6210706900022993
2007-12-01,0.6071043987847873
2008-12-01,0.6271784541106368
2009-12-01,0.6093116083883942
2010-12-01,0.6341753648930972
2011-12-01,0.652912480397654
2012-12-01,0.6545104927999419
2013-12-01,0.7082797445927763
2014-12-01,0.6847464830179381
2015-12-01,0.700438865849933
2016-12-01,0.7129023996840305
2017-12-01,0.7135368727279574
2018-12-01,0.7133559800842398
2019-12-01,0.705196750508804
2020-12-01,0.6829405089564097
2021-12-01,0.6778268475974892
2022-12-01,0.6739575590176871
2023-12-01,0.6136935444751117
2024-12-01,0.6381680974791929
2025-12-01,0.6516442496955254
2026-12-01,0.6506671596482442
2027-12-01,0.6472587960222288
2028-12-01,0.6446097952076456
2029-12-01,0.6859753764385339
2030-12-01,0.6796163706063959
2031-12-01,0.5974980222803543
2032-12-01,0.6101896264336337
2033-12-01,0.5258257924030156
2034-12-01,0.5897594260500697
2035-12-01,0.5802727807531914
2036-12-01,0.5804741971262295
2037-12-01,0.5919883870749943
2038-12-01,0.5684092620132856
2039-12-01,0.537876274680159
2040-12-01,0.5431809916079545
2041-12-01,0.5042408281905628
2042-12-01,0.569231353943763
2043-12-01,0.5919507653519468
2044-12-01,0.5924037219214865
2045-12-01,0.6144166021173935
2046-12-01,0.602401359630206
2047-12-01,0.5935625545317559
2048-12-01,0.6637606737588139
2049-12-01,0.713506949638541
2050-12-01,0.7152139070367612
2051-12-01,0.7061214559583792
2052-12-01,0.6747822356642902
2053-12-01,0.677503244800377
2054-12-01,0.6411938479799933
2055-12-01,0.6352820813212918
2056-12-01,0.6297466934943532
2057-12-01,0.6158171022817387
2058-12-01,0.5891693084529771
2059-12-01,0.491629126588591
2060-12-01,0.5321305070366918
