centre_date,TAC,Var
1989-12-01,0.46095597429327606,0.555096532270937
1993-12-01,0.3917183850368742,0.7699617071599271
1994-12-01,0.4663769558079563,0.6056756693982017
1995-12-01,0.41756346149289125,0.4750510696593017
1996-12-01,0.2958986047745903,0.5134184676012217
1997-12-01,0.09889081360783504,0.6373486966584955
1998-12-01,0.08987666219086887,0.7610353488149947
1999-12-01,-0.06437295208783443,0.7012906061573869
2000-12-01,0.11852633014280792,0.9436955412913185
2001-12-01,0.22688407918566794,0.9666637125820401
2002-12-01,0.29381530110670107,0.8942658214004519
2003-12-01,0.24997506336665276,0.7948560914880181
2004-12-01,0.05772841456973614,0.5257494161680578
2005-12-01,0.2083022024488536,0.5024822141563783
2006-12-01,0.2869644024207669,0.4998954722622565
2007-12-01,0.39284474825312393,0.4926905419672964
2008-12-01,0.4073487158270337,0.34982009244383616
2009-12-01,0.34756827810160157,0.36860699112885514
2010-12-01,0.32759352412082754,0.29932739940845055
2011-12-01,0.2719227408640383,0.2811786958647794
2012-12-01,0.13536951986100196,0.24886471478425692
2013-12-01,0.23068018469434762,0.3044096654801141
2014-12-01,0.3997222989298017,0.4052467105438783
2015-12-01,0.6457206985482523,0.6592066146830493
2016-12-01,0.6348287288077858,0.7957125845161498
2017-12-01,0.37867466935407607,0.6917258069059242
2018-12-01,0.18888695615854117,0.6095851168381339
