centre_date,TAC,Var
1992-06-01,0.5889815555089407,0.8124304937120242
1993-06-01,0.5614857654601055,0.7280850807128725
1994-06-01,0.3447316028759976,0.5765882546869752
1995-06-01,0.2176099872850517,0.523926979099815
1996-06-01,0.21525475621979448,0.5048522306026187
1997-06-01,0.1126346550595149,0.42921428655433824
1998-06-01,0.13809457631787952,0.48137583846413484
1999-06-01,0.01162104788778951,0.4984151488503667
2000-06-01,-0.062260007006073564,0.456515517012411
2001-06-01,-0.01921469703990211,0.5131544905401056
2002-06-01,0.04281728386965269,0.6051864701541911
2003-06-01,0.027115526366130096,0.6528592259997087
2004-06-01,0.03847640994572431,0.6558615594959066
2005-06-01,0.09068362592199115,0.6459968950512183
2006-06-01,0.09422775912596418,0.6466277345778836
2007-06-01,0.12325000827278747,0.7159152664664274
2008-06-01,0.11954693083252738,0.8553152236089453
2009-06-01,0.15215319281292664,0.8258447729284429
2010-06-01,0.15502400036209169,0.8756369610490924
2011-06-01,0.3081527982099155,0.9559765882568602
2012-06-01,0.38985281287225315,0.9534597131597912
2013-06-01,0.46165598964687204,0.9733784224695895
2014-06-01,0.5035830682979231,1.0018944438476376
2015-06-01,0.5036690295129631,1.1048638094441317
2016-06-01,0.5304285103869874,1.1997293145494117
