centre_date,TAC,Var
1992-06-01,0.646926403076935,6.900337938135131
1993-06-01,0.5344682451638597,0.7302090397745871
1994-06-01,0.54542136729347,0.9586186649149453
1995-06-01,0.5401167305029678,0.9860653257982166
1996-06-01,0.5924517105213225,0.8301023585713319
1997-06-01,0.6118082745990339,0.7930512239526808
1998-06-01,0.5313195391846278,0.5234567653659139
1999-06-01,0.4265092842475676,0.2922904962803403
2000-06-01,0.3009062241481792,0.25147425829861886
2001-06-01,0.23309638724480858,0.3089376556836422
2002-06-01,0.24350159325590892,0.2923144764641805
2003-06-01,0.2502446002544234,0.19726613551506525
2004-06-01,0.18316920249072624,0.20824444746437046
2005-06-01,0.4441213155720276,0.3288465647818128
2006-06-01,0.6052417759461332,0.41127915400096354
2007-06-01,0.6164641373493558,0.5889766757125684
2008-06-01,0.6387844282423576,0.6464252768518819
2009-06-01,0.6408877839782343,0.6354205093014418
2010-06-01,0.6249034989246519,0.5872568728998951
2011-06-01,0.5747512521735185,0.5418950053475656
2012-06-01,0.4688249507798579,0.4038547185899688
2013-06-01,0.3830716415144453,0.36167442705352754
2014-06-01,0.39484342338778683,0.3985716428488275
2015-06-01,0.3082535629445428,0.32600811344787156
2016-06-01,0.2483835316785866,0.24152844487613762
2017-06-01,0.3468220440275664,0.21804685449761899
2018-06-01,0.2695694918177639,0.1946177939833601
2019-06-01,0.18919941974875049,0.13771212171410954
2020-06-01,0.1620905202379204,0.1216347337416052
2021-06-01,0.0859900023291448,0.10136896090933604
2022-06-01,0.7329402174827644,0.9333714701310094
2023-06-01,0.763438542800557,1.0960123692008725
2024-06-01,0.7652426539941136,1.0855490240477503
2025-06-01,0.725322537639425,1.1832100600917703
2026-06-01,0.7009000766828213,1.2689024349069402
2027-06-01,0.4258187047875242,0.38985528958766824
2028-06-01,0.5893115832236712,0.6060247967046722
2029-06-01,0.6282949073774702,0.6932610109476284
2030-06-01,0.6836510456414768,0.6013336388712943
2031-06-01,0.6971120732870928,0.5877823772191263
2032-06-01,0.6737678768562515,0.7808437000515112
2033-06-01,0.5300594516412896,0.6250430519671738
2034-06-01,0.46509085308398435,0.4953729217058636
2035-06-01,0.3790438115229187,0.4828042643419111
2036-06-01,0.36639383709680207,0.5618151433600265
2037-06-01,0.43591036700773667,0.5353028348672731
2038-06-01,0.48164306988983513,0.42704260372061686
2039-06-01,0.45920067197306275,0.7634719301218014
2040-06-01,0.6255695729888611,1.2067784557292842
2041-06-01,0.6184260032156303,1.0787249531663339
2042-06-01,0.5988389445848858,1.1441109496057764
2043-06-01,0.5915479247698653,1.1379575629935468
2044-06-01,0.6286617651203278,0.8006653194716477
2045-06-01,0.48750216467567614,0.5844187002660481
2046-06-01,0.5304325777318541,0.550801491087479
2047-06-01,0.505009033850846,0.3715252249601659
2048-06-01,0.5301607254313196,0.38248279686913633
2049-06-01,0.4409750237187298,0.4485097459900435
2050-06-01,0.3055430836812434,0.32204806158538885
2051-06-01,0.2638149491392733,0.3399530247341364
2052-06-01,0.24150048652750414,0.32391124677462035
2053-06-01,0.2806614358275362,0.323350035712594
2054-06-01,0.44098482048556004,0.29629773109723895
2055-06-01,0.30166945197977957,0.3021913894592088
2056-06-01,0.3583642773908148,0.2786283932188049
2057-06-01,0.4034823173465361,0.3852736505294162
2058-06-01,0.5297206297800701,0.6332820362513519
2059-06-01,0.5934709290100294,0.8580237042930097
2060-06-01,0.6906150285663496,0.8961284835763706
2061-06-01,0.6804605063177593,0.982420143964461
2062-06-01,0.6693300297771064,0.8513425455637186
2063-06-01,0.6748773069505095,0.620985564682401
