centre_date,TAC
1994-12-01,0.6432455412305149
1995-12-01,0.6148405274284222
1996-12-01,0.6351846172358819
1997-12-01,0.6538952299342308
1998-12-01,0.6487089180493054
1999-12-01,0.6383528298522195
2000-12-01,0.5390615364236413
2001-12-01,0.580176234849168
2002-12-01,0.5833107245585112
2003-12-01,0.492307800135844
2004-12-01,0.5300521425479289
2005-12-01,0.5799683652236174
2006-12-01,0.5804731197826815
2007-12-01,0.5758510840942912
2008-12-01,0.5899082127511407
2009-12-01,0.5613894613003532
2010-12-01,0.5820178194707427
2011-12-01,0.5946092484979211
2012-12-01,0.5913197995039631
2013-12-01,0.6727269326209848
2014-12-01,0.667615765353263
2015-12-01,0.6765514032730654
2016-12-01,0.6890615170484806
2017-12-01,0.6802675421077804
2018-12-01,0.6775780508470719
2019-12-01,0.6758689161279103
2020-12-01,0.6576600482259884
2021-12-01,0.6707619572002818
2022-12-01,0.6649787310328903
2023-12-01,0.6460420121073042
2024-12-01,0.6627232814377075
2025-12-01,0.6562676811818914
2026-12-01,0.6520571194496928
2027-12-01,0.6856182921994157
2028-12-01,0.6864614078780588
2029-12-01,0.7072415233759429
2030-12-01,0.6984341347375639
2031-12-01,0.6424519338414635
2032-12-01,0.6717273449155814
2033-12-01,0.5214014115430932
2034-12-01,0.4856056400206464
2035-12-01,0.48595082500920017
2036-12-01,0.5040132915157526
2037-12-01,0.5059346156033346
2038-12-01,0.47188616102982595
2039-12-01,0.44579945351933875
2040-12-01,0.4841347840849612
2041-12-01,0.42864977862161907
2042-12-01,0.40762181070809217
2043-12-01,0.4118626375669383
2044-12-01,0.5141706976438635
2045-12-01,0.5556709504411931
2046-12-01,0.5390720193370657
2047-12-01,0.5471743222675243
2048-12-01,0.6282160621319349
2049-12-01,0.6401296951151789
2050-12-01,0.683618014423052
2051-12-01,0.6723282597289353
2052-12-01,0.7005269651628588
2053-12-01,0.7153770592497042
2054-12-01,0.6760531382964449
2055-12-01,0.6673176285128107
2056-12-01,0.6534754953128771
2057-12-01,0.6620328334440679
2058-12-01,0.6337925950135309
2059-12-01,0.6385239321836695
2060-12-01,0.5726446357894255
