centre_date,TAC
1994-12-01,0.6897098532183885
1995-12-01,0.6194457770576307
1996-12-01,0.62271411708785
1997-12-01,0.6825570755371959
1998-12-01,0.6945494559052833
1999-12-01,0.6992086924290101
2000-12-01,0.720071650191303
2001-12-01,0.717780048828861
2002-12-01,0.6713880985733016
2003-12-01,0.6476281619624615
2004-12-01,0.6353768300669131
2005-12-01,0.6636999737551289
2006-12-01,0.6680604113300719
2007-12-01,0.6172543347020868
2008-12-01,0.6007446006247488
2009-12-01,0.559503864621316
2010-12-01,0.5603116854666962
2011-12-01,0.5106523380343524
2012-12-01,0.48854059403522476
2013-12-01,0.49689581285750967
2014-12-01,0.4777191070955745
2015-12-01,0.47448994709002634
2016-12-01,0.4575089412062631
2017-12-01,0.3903996252280424
2018-12-01,0.35424119807264465
2019-12-01,0.4622170835820051
2020-12-01,0.48644722929255146
2021-12-01,0.48658029270626096
2022-12-01,0.5018817197702156
2023-12-01,0.4912040112999215
2024-12-01,0.5686832698996327
2025-12-01,0.564453767852228
2026-12-01,0.5704225906334446
2027-12-01,0.5799602327584287
2028-12-01,0.5720282035647855
2029-12-01,0.4719171042005942
2030-12-01,0.5613545120896647
2031-12-01,0.5923287137625044
2032-12-01,0.5994946109110239
2033-12-01,0.6269336289426103
2034-12-01,0.6230136805833468
2035-12-01,0.6665919955897853
2036-12-01,0.6227377194160196
2037-12-01,0.6658985802699133
2038-12-01,0.6640108863123836
2039-12-01,0.6796066751815903
2040-12-01,0.6308810439002082
2041-12-01,0.6339398942073824
2042-12-01,0.60786274834228
2043-12-01,0.6456425047344136
2044-12-01,0.648915644995615
2045-12-01,0.6133053244196645
2046-12-01,0.6304044406502902
2047-12-01,0.5069977044588756
2048-12-01,0.4359482871978087
2049-12-01,0.4754595937158006
2050-12-01,0.4437293663848816
2051-12-01,0.4893970548472679
2052-12-01,0.4768539202204457
2053-12-01,0.48910588854445647
2054-12-01,0.5103102464072272
2055-12-01,0.5534044207287401
2056-12-01,0.5115677505473317
2057-12-01,0.5765293313848395
2058-12-01,0.5725089362890712
2059-12-01,0.5682212057690522
2060-12-01,0.5469746395912174
