centre_date,TAC
1994-12-01,0.600919203576316
1995-12-01,0.4940683495674867
1996-12-01,0.5245640637194046
1997-12-01,0.5199812351489604
1998-12-01,0.5495836232184735
1999-12-01,0.4895484755290506
2000-12-01,0.4571690479452466
2001-12-01,0.4311470160297714
2002-12-01,0.4287522301651263
2003-12-01,0.36937313144511663
2004-12-01,0.4699018470159159
2005-12-01,0.49107872564215443
2006-12-01,0.508667561363774
2007-12-01,0.502898664428015
2008-12-01,0.4632764821346978
2009-12-01,0.4601865607788921
2010-12-01,0.4775127402024359
2011-12-01,0.4669827029439325
2012-12-01,0.4724612525081288
2013-12-01,0.425884495612193
2014-12-01,0.3582766147508415
2015-12-01,0.3468732219458191
2016-12-01,0.33130736538699096
2017-12-01,0.3415647260399575
2018-12-01,0.3701931210439851
2019-12-01,0.4817660986295458
2020-12-01,0.4923483137500361
2021-12-01,0.5090298460068855
2022-12-01,0.5097420206300767
2023-12-01,0.5836096187422434
2024-12-01,0.6512915595050374
2025-12-01,0.6520938807017964
2026-12-01,0.6675078054568303
2027-12-01,0.6676771997329604
2028-12-01,0.6559808567186908
2029-12-01,0.705385058773928
2030-12-01,0.7099449878249233
2031-12-01,0.6816328902552674
2032-12-01,0.6894208140940943
2033-12-01,0.6881225505278062
2034-12-01,0.6310292809222653
2035-12-01,0.6440028372689297
2036-12-01,0.7363758993780074
2037-12-01,0.7455124234432022
2038-12-01,0.7532807656615824
2039-12-01,0.7241258041330282
2040-12-01,0.7442628890124925
2041-12-01,0.77288898639068
2042-12-01,0.7660509690791083
2043-12-01,0.7748258541680988
2044-12-01,0.7843801163359017
2045-12-01,0.7912525803032298
2046-12-01,0.7553310574965975
2047-12-01,0.7530939235328276
2048-12-01,0.7244801215505461
2049-12-01,0.7078923180272002
2050-12-01,0.6953461841659663
2051-12-01,0.6824563424251716
2052-12-01,0.675078975166429
2053-12-01,0.6924018627900899
2054-12-01,0.6846780178693728
2055-12-01,0.6052066407536824
2056-12-01,0.5829280021716259
2057-12-01,0.6001890778978071
2058-12-01,0.6219354685625671
2059-12-01,0.6247638753507259
2060-12-01,0.5900853886695029
