centre_date,Var
1994-12-01,1.4802615012422067
1995-12-01,0.7308746706971953
1996-12-01,0.7394652736195573
1997-12-01,0.766122363852236
1998-12-01,0.7680541678818215
1999-12-01,0.6431932212600601
2000-12-01,0.697139519902755
2001-12-01,0.6375288822777561
2002-12-01,0.4944003890765253
2003-12-01,0.3842170746745724
2004-12-01,0.5391429015837148
2005-12-01,0.5368232750951331
2006-12-01,0.4748053385816296
2007-12-01,0.4577510386632903
2008-12-01,0.4826932412645602
2009-12-01,0.5726174157191821
2010-12-01,0.5111698653547547
2011-12-01,0.6743676751546845
2012-12-01,0.6840054671469277
2013-12-01,0.7687135844769194
2014-12-01,0.6170586226964553
2015-12-01,0.6559915028731753
2016-12-01,0.6814454567255173
2017-12-01,0.6727617924601303
2018-12-01,0.6843897109425554
2019-12-01,0.7865989884142978
2020-12-01,0.8639031508960605
2021-12-01,0.6860883938968004
2022-12-01,0.7498071023498297
2023-12-01,0.7776919298821999
2024-12-01,1.106054429487958
2025-12-01,1.0147799656144065
2026-12-01,1.001657402599885
2027-12-01,1.0295982206392704
2028-12-01,0.967966740049227
2029-12-01,1.1861407437668858
2030-12-01,1.1698306054344256
2031-12-01,1.268567439249228
2032-12-01,1.190527292828034
2033-12-01,1.184250100455277
2034-12-01,0.8807756837168402
2035-12-01,0.89888880823365
2036-12-01,1.6690003929234094
2037-12-01,1.885619228519841
2038-12-01,1.8712628358350216
2039-12-01,1.4435388302912167
2040-12-01,1.4955971438288904
2041-12-01,1.396036754157608
2042-12-01,1.4536680430157618
2043-12-01,1.3853510747484938
2044-12-01,1.4024838839284317
2045-12-01,1.8241144372662972
2046-12-01,1.2773099955894427
2047-12-01,1.0685682664016616
2048-12-01,1.1360646203803144
2049-12-01,1.263934138998134
2050-12-01,1.2517903312870329
2051-12-01,1.2686070000162961
2052-12-01,1.264923965862481
2053-12-01,1.2865820601308506
2054-12-01,1.2953637681077836
2055-12-01,0.8762307537854839
2056-12-01,0.6921193549910107
2057-12-01,0.766806955746586
2058-12-01,0.7045590168495329
2059-12-01,0.5959768880201575
2060-12-01,0.5281609982966174
