centre_date,Var
1994-12-01,1.3953944776504899
1995-12-01,0.8449347234535821
1996-12-01,0.8285565286384456
1997-12-01,0.8397044317963257
1998-12-01,1.0343013148905298
1999-12-01,1.085766927029455
2000-12-01,1.2674099643402745
2001-12-01,1.163012283366119
2002-12-01,1.1972659119537343
2003-12-01,1.0286679293645555
2004-12-01,1.076067805142972
2005-12-01,1.1022995311093282
2006-12-01,1.2770276049459832
2007-12-01,1.3601479752069499
2008-12-01,1.2323432034983381
2009-12-01,1.2706502727203373
2010-12-01,1.391050025920551
2011-12-01,1.4286733830883676
2012-12-01,1.386954612681864
2013-12-01,1.4086623234068891
2014-12-01,1.367214106613185
2015-12-01,1.2463424708951005
2016-12-01,1.0579918092635152
2017-12-01,0.919423132802567
2018-12-01,0.9235886653261156
2019-12-01,0.8044598293996152
2020-12-01,0.5160388100564022
2021-12-01,0.4687475741318012
2022-12-01,0.5194359761122702
2023-12-01,0.4259123871766069
2024-12-01,0.5379728647559076
2025-12-01,0.5928963087375593
2026-12-01,0.7345772383957313
2027-12-01,0.7400085666721398
2028-12-01,0.814124749168862
2029-12-01,0.8565293055847686
2030-12-01,0.8630258288049228
2031-12-01,0.8818678964901352
2032-12-01,0.8263700317464643
2033-12-01,0.8972802727772163
2034-12-01,0.9435211649824343
2035-12-01,0.8986762187391768
2036-12-01,0.7595225650690202
2037-12-01,0.8322663000644072
2038-12-01,0.8634169553374998
2039-12-01,0.9114366746607594
2040-12-01,0.9352171590214654
2041-12-01,1.01631761445516
2042-12-01,1.0543128448069685
2043-12-01,0.8567248953726889
2044-12-01,0.7030970139371796
2045-12-01,0.7260429719522788
2046-12-01,0.7368212756232863
2047-12-01,0.6856978473500309
2048-12-01,0.598423838323628
2049-12-01,0.5094678298731511
2050-12-01,0.5483618523885035
2051-12-01,0.4612699010586053
2052-12-01,0.44800414631403507
2053-12-01,0.4426256449677637
2054-12-01,0.8326588880477724
2055-12-01,1.252413892279034
2056-12-01,1.2220506357758523
2057-12-01,1.1912042320837513
2058-12-01,1.1898379893630202
2059-12-01,1.2143047425674265
2060-12-01,1.1849683747751891
