catchment,ndvi
Cannonsville NY,0.8603507201640777
Sebago ME,0.7958924665750905
Quabbin MA,0.8148301198087986
Wachusett MA,0.8388980878944535
Scituate RI,0.8479192629786494
Barkhamsted CT,0.8837304525033425
Massabesic NH,0.8301643599921422
Hemlock-Canadice NY,0.8369682307837123
Alcove NY,0.8616530048098254
Hinckley NY,0.8683288015892396
