centre_date,TAC,Var
1992-06-01,0.651064283327459,0.7957102049246971
1993-06-01,0.6560369611619487,0.8457205093388243
1994-06-01,0.42466894935249333,0.7490397397259141
1995-06-01,0.20828102654298614,0.7038930861661716
1996-06-01,0.2009855133475033,0.7545681187724668
1997-06-01,0.17781020867539135,0.6473128537952493
1998-06-01,0.21406790972776307,0.7242943780358777
1999-06-01,0.2871933500404381,0.8155344434235997
2000-06-01,0.30342687496138104,0.9131538055648983
2001-06-01,0.30516896196846033,0.9751212595048676
2002-06-01,0.26831171849570806,0.8757765386567156
2003-06-01,0.2704498106796618,0.8471961727294837
2004-06-01,0.26473571978476196,0.742140586809674
2005-06-01,0.32593620624434017,0.6873277152340572
2006-06-01,0.3311158925077788,0.6407209335265677
2007-06-01,0.3419914943342429,0.592286410922057
2008-06-01,0.4161850773845154,0.5304140680861359
2009-06-01,0.428492399769534,0.4801559969356752
2010-06-01,0.45203900518117646,0.4356524650236597
2011-06-01,0.38884949069595953,0.34332217766469764
2012-06-01,0.38341846731046564,0.3844851055781395
2013-06-01,0.5500831993986969,0.4874781090163848
2014-06-01,0.6320008768047165,0.6119451646111818
2015-06-01,0.5940111632692734,0.6669639418776758
2016-06-01,0.6338678663716704,0.8504201499284603
