season,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
DJF,273.0150961113835,272.85208321415246,272.23127098050713,272.97872173548313,272.6962637846262,272.19609991118887
JJA,299.28097303623184,299.0624057173913,298.43459866304346,299.380351326087,299.027886768116,298.5285356123188
MAM,286.44882875,286.2652119891305,285.6258362318841,286.391078557971,286.08422623188403,285.5786274710145
SON,288.5316261611722,288.3095313333333,287.6493673992674,288.64362666300366,288.2950128901099,287.7626756117216
