model,season,mean_cf,min_cf,max_cf,std_cf,mean_pct_change,min_pct_change,max_pct_change
ACCESS-ESM1-5,DJF,1.1302564266829096,1.0070404601458454,1.2202203370050764,0.07335820280946113,13.02564266829096,0.7040460145845362,22.022033700507638
ACCESS-ESM1-5,MAM,1.1738321443893789,1.082533875095428,1.231543286723774,0.048937498360065994,17.383214438937888,8.253387509542808,23.15432867237739
ACCESS-ESM1-5,JJA,0.9370022873740597,0.8866503318098862,1.0238736941390891,0.043184111583067106,-6.299771262594033,-11.334966819011383,2.387369413908913
ACCESS-ESM1-5,SON,1.0687080418970611,0.9628250583363904,1.1812190260689202,0.0638880297454511,6.8708041897061145,-3.7174941663609573,18.121902606892014
IPSL-CM6A-LR,DJF,1.164403669218774,1.036321579012313,1.2537939954170523,0.07495611873604158,16.440366921877402,3.632157901231303,25.379399541705226
IPSL-CM6A-LR,MAM,1.0434403098549092,0.9632610299764612,1.0931266734517882,0.041764343074657644,4.344030985490921,-3.6738970023538764,9.312667345178816
IPSL-CM6A-LR,JJA,0.9224683745975074,0.8640733694370087,1.0156319415744626,0.048062004314227635,-7.753162540249258,-13.592663056299125,1.5631941574462571
IPSL-CM6A-LR,SON,0.90568995442588,0.8155894480646788,1.0024727395775985,0.05616147869838955,-9.431004557412004,-18.44105519353212,0.24727395775985261
CMCC-ESM2,DJF,1.2854432552425135,1.1380266093583786,1.3901570862874213,0.0815784224229768,28.544325524251345,13.802660935837864,39.01570862874213
CMCC-ESM2,MAM,1.0838500630861316,1.0008305445806147,1.1381372018696359,0.04591610572618951,8.385006308613164,0.08305445806147116,13.813720186963586
CMCC-ESM2,JJA,1.0050303115362669,0.9517347038347571,1.0957572281501262,0.045864892990397484,0.5030311536266874,-4.826529616524288,9.575722815012622
CMCC-ESM2,SON,0.89665568859833,0.8142511024276077,0.9837852797663919,0.05038895070260461,-10.334431140167,-18.574889757239234,-1.6214720233608149
CNRM-CM6-1,DJF,1.1251899452584813,0.9978023890334349,1.2151096964362567,0.07191598254619108,12.518994525848125,-0.21976109665651222,21.510969643625664
CNRM-CM6-1,MAM,1.0832902396726338,1.0021077218845538,1.1329566083916722,0.043770599676682516,8.329023967263382,0.21077218845537704,13.295660839167223
CNRM-CM6-1,JJA,0.9098601256325421,0.8558380778897808,0.9973999345970802,0.04502204691339862,-9.013987436745785,-14.416192211021917,-0.26000654029197934
CNRM-CM6-1,SON,0.8597904471456616,0.7742093503201696,0.9507803769635038,0.05290653316373189,-14.020955285433844,-22.579064967983044,-4.921962303649618
INM-CM5-0,DJF,1.1493354372074271,1.0175131735020082,1.2421123482369367,0.0750370436928202,14.933543720742716,1.7513173502008206,24.211234823693673
INM-CM5-0,MAM,1.0461195124802485,0.9696421016096441,1.0915901641314367,0.040976211247415406,4.611951248024848,-3.0357898390355853,9.159016413143672
INM-CM5-0,JJA,1.043523137716684,0.9823898942412304,1.1435793019602587,0.05091511453388242,4.3523137716684035,-1.7610105758769645,14.357930196025869
INM-CM5-0,SON,0.9674651779446553,0.877391581563963,1.062481462815874,0.05513783444235513,-3.2534822055344748,-12.260841843603698,6.248146281587408
