centre_date,Var
1994-12-01,0.816884630783183
1995-12-01,0.6270361335511148
1996-12-01,0.6762845027779012
1997-12-01,0.7358672615551682
1998-12-01,0.8140564623949821
1999-12-01,0.8116680809786218
2000-12-01,0.829486299406642
2001-12-01,0.7624258488717585
2002-12-01,0.7661370623279715
2003-12-01,0.904915403552781
2004-12-01,0.5133806493729273
2005-12-01,0.5207945162540611
2006-12-01,0.5021500315616
2007-12-01,0.5266426413004802
2008-12-01,0.45833927980018374
2009-12-01,0.6750381913940088
2010-12-01,0.6445391302681964
2011-12-01,0.6362673575340568
2012-12-01,0.6719435254183744
2013-12-01,0.5271804633407511
2014-12-01,0.5082126452213106
2015-12-01,0.4662078977859423
2016-12-01,0.4600217008866921
2017-12-01,0.43796129424679053
2018-12-01,0.47340290573453486
2019-12-01,1.0138065045092242
2020-12-01,1.0022428471454439
2021-12-01,1.0502683530594232
2022-12-01,1.0356251346461447
2023-12-01,1.0420922260090857
2024-12-01,1.053214111855636
2025-12-01,1.3240531387069103
2026-12-01,1.4248018375199933
2027-12-01,2.1513750571259482
2028-12-01,2.0960585270407175
2029-12-01,1.4197826799985265
2030-12-01,1.5342898939347296
2031-12-01,1.5514649850792164
2032-12-01,1.5423430459401217
2033-12-01,1.937085097887613
2034-12-01,2.036470005003913
2035-12-01,1.7859419250731532
2036-12-01,1.6714809234091565
2037-12-01,0.9619060892362047
2038-12-01,1.0394955682432976
2039-12-01,1.2793432668685707
2040-12-01,1.2144517148461698
2041-12-01,1.3398217607127
2042-12-01,1.3335233612902049
2043-12-01,0.9327761055678024
2044-12-01,0.8703625785919397
2045-12-01,1.2094391892904046
2046-12-01,1.5392852557586634
2047-12-01,1.7379251189423826
2048-12-01,1.7615824749208864
2049-12-01,1.4977662036635568
2050-12-01,1.5803276854398773
2051-12-01,1.3804003448311857
2052-12-01,1.3533555085039328
2053-12-01,1.4144567869879436
2054-12-01,1.3834065876553332
2055-12-01,1.0024024043304167
2056-12-01,0.8470408115973735
2057-12-01,0.5911853916340888
2058-12-01,0.5482724544220919
2059-12-01,0.5819781499674775
2060-12-01,0.46435911888604064
