centre_date,Var
1994-12-01,1.7704076321014655
1995-12-01,0.8692474237073825
1996-12-01,0.8447642469938214
1997-12-01,0.8448750702015374
1998-12-01,0.9167506592313581
1999-12-01,0.9105120453611145
2000-12-01,0.5108970225037596
2001-12-01,0.3442296213556912
2002-12-01,0.3942239959571544
2003-12-01,0.5250516920660465
2004-12-01,0.9291201384591701
2005-12-01,0.967397108830443
2006-12-01,0.9755819334810061
2007-12-01,0.9438463901968717
2008-12-01,0.9538686027461153
2009-12-01,0.9520044171720637
2010-12-01,0.9590854270381085
2011-12-01,1.0177074868201024
2012-12-01,0.9341871218650042
2013-12-01,0.7968321834613599
2014-12-01,0.40235780644743796
2015-12-01,0.3405636388368616
2016-12-01,0.3213652662087357
2017-12-01,0.31122292214019104
2018-12-01,0.2097415196885181
2019-12-01,0.6636903122572999
2020-12-01,0.7013980273711807
2021-12-01,0.6533441444773085
2022-12-01,0.7127709021461276
2023-12-01,0.7619354157232464
2024-12-01,0.9614572146786774
2025-12-01,1.075241210959788
2026-12-01,1.105961570652735
2027-12-01,1.195106797421052
2028-12-01,1.2169557671822944
2029-12-01,0.8415524241937066
2030-12-01,0.8405615530582885
2031-12-01,0.8344205646144501
2032-12-01,0.8149397911290056
2033-12-01,0.7641596006410523
2034-12-01,0.6961950292428823
2035-12-01,0.6031963982173291
2036-12-01,0.7872043887622892
2037-12-01,1.4647809713012934
2038-12-01,1.5108641147885824
2039-12-01,1.5294217938025987
2040-12-01,1.4954173836607298
2041-12-01,1.5336958446825446
2042-12-01,1.6480762534720022
2043-12-01,1.6650406019792525
2044-12-01,1.5620497781806364
2045-12-01,1.5509321853626905
2046-12-01,1.3548208177086318
2047-12-01,0.7304464688684664
2048-12-01,0.700176624252413
2049-12-01,0.57485493350363
2050-12-01,0.6031493571718918
2051-12-01,0.6508599396240153
2052-12-01,0.5473808045171071
2053-12-01,0.5262083270561675
2054-12-01,0.5710757660911014
2055-12-01,0.6704901832152282
2056-12-01,0.777102472941311
2057-12-01,0.7951403500320509
2058-12-01,0.8616508720321766
2059-12-01,0.8744533891006685
2060-12-01,0.8243993251954652
