season,"(42.125, -75.125)","(42.125, -74.875)","(42.125, -74.625)","(42.375, -75.125)","(42.375, -74.875)","(42.375, -74.625)"
DJF,241.1589938776851,257.23462841701263,268.1512249176954,241.77016667600037,252.58145855126347,261.845521973851
JJA,335.52122163850606,346.1341279386834,351.90096836114463,333.71129979775213,343.2490973366587,349.62646512154583
MAM,272.73564795031047,284.93553348662294,293.1893788374543,273.058143385192,281.4026107498692,288.3534008433817
SON,280.274944544986,291.67802683101945,299.5678511654368,280.2836355717354,288.28223430986765,294.5870833455736
