centre_date,TAC,Var
1992-06-01,0.1712300523776015,0.3068152589411001
1993-06-01,0.1283026393073096,0.3155363314162609
1994-06-01,0.15637846337689465,0.32100730251040854
1995-06-01,0.12577679550785192,0.3529477315268204
1996-06-01,0.10533981942373662,0.3521628846359072
1997-06-01,0.14459796573340591,0.3981216378466214
1998-06-01,0.5637978412267733,0.6111974371158653
1999-06-01,0.7666369878558328,0.8215723033008617
2000-06-01,0.7852904937975632,0.9118879341425826
2001-06-01,0.8487909352947661,0.9130441948457971
2002-06-01,0.7579141637513226,0.9864764451838269
2003-06-01,0.7790906345737695,0.9511042289068746
2004-06-01,0.7411282808504331,0.9405952820312022
2005-06-01,0.7406068231139709,0.8676965067312172
2006-06-01,0.6898469027505669,0.8321845655368811
2007-06-01,0.7968363259873148,1.0268955463029115
2008-06-01,0.8621867991710161,1.2014859211528948
2009-06-01,0.862574527063483,1.2347423847124528
2010-06-01,0.9001538522708304,1.231678809868858
2011-06-01,0.909487817290132,1.4647675822086206
2012-06-01,1.0135563318959513,1.2425593941811177
2013-06-01,1.0176715838866028,1.2017722757587803
2014-06-01,0.9612885082707302,1.0200702335353125
2015-06-01,0.8594956049994448,0.8049215041912547
2016-06-01,0.6621598087956932,0.536856444040838
